 FIPS , Name , Race ,Total,Employed,Unemployed,NILF
 6029c , Kern County (part) , All other non-Hispanic ,7430,4435,,1936
 6029c , Kern County (part) , Latino ,259360,171471,23300,64589
 6029c , Kern County (part) , Non-Hispanic American Indian ,2318,1487,,
 6029c , Kern County (part) , Non-Hispanic Asian ,25245,18063,,6126
 6029c , Kern County (part) , Non-Hispanic black ,24428,13026,2465,8937
 6029c , Kern County (part) , Non-Hispanic white ,184203,120531,11732,51940
 6029c , Kern County (part) , Total ,502984,329013,39806,134165
 6037a ," Los Angeles city, California ", All other non-Hispanic ,55436,41580,4113,9743
 6037a ," Los Angeles city, California ", Latino ,1244721,886384,67804,290533
 6037a ," Los Angeles city, California ", Non-Hispanic American Indian ,4550,2456,,1486
 6037a ," Los Angeles city, California ", Non-Hispanic Asian ,313154,222133,12612,78409
 6037a ," Los Angeles city, California ", Non-Hispanic black ,241158,153676,21176,66306
 6037a ," Los Angeles city, California ", Non-Hispanic white ,728946,541894,36133,150919
 6037a ," Los Angeles city, California ", Total ,2587965,1848123,142446,597396
 6037b , Remainder - Los Angeles County (part) , All other non-Hispanic ,70555,50133,3828,16594
 6037b , Remainder - Los Angeles County (part) , Latino ,1868918,1299826,99382,469710
 6037b , Remainder - Los Angeles County (part) , Non-Hispanic American Indian ,10187,6265,,3745
 6037b , Remainder - Los Angeles County (part) , Non-Hispanic Asian ,673119,478422,25347,169350
 6037b , Remainder - Los Angeles County (part) , Non-Hispanic black ,271524,178006,21548,71970
 6037b , Remainder - Los Angeles County (part) , Non-Hispanic white ,993497,707058,48158,238281
 6037b , Remainder - Los Angeles County (part) , Total ,3887800,2719710,198440,969650
 6059c , Orange County (part) , All other non-Hispanic ,45798,33246,2080,10472
 6059c , Orange County (part) , Latino ,675884,505047,31742,139095
 6059c , Orange County (part) , Non-Hispanic American Indian ,3247,1636,,1312
 6059c , Orange County (part) , Non-Hispanic Asian ,415708,287896,14419,113393
 6059c , Orange County (part) , Non-Hispanic black ,33716,25624,2105,5987
 6059c , Orange County (part) , Non-Hispanic white ,812638,613435,31486,167717
 6059c , Orange County (part) , Total ,1986991,1466884,82131,437976
 6065c , Riverside County (part) , All other non-Hispanic ,31257,19277,2359,9621
 6065c , Riverside County (part) , Latino ,678698,458425,46255,174018
 6065c , Riverside County (part) , Non-Hispanic American Indian ,7170,2935,1728,2507
 6065c , Riverside County (part) , Non-Hispanic Asian ,97823,60984,5052,31787
 6065c , Riverside County (part) , Non-Hispanic black ,85991,56236,8331,21424
 6065c , Riverside County (part) , Non-Hispanic white ,495789,321094,33199,141496
 6065c , Riverside County (part) , Total ,1396728,918951,96924,380853
 6067c , Sacramento County (part) , All other non-Hispanic ,38204,23782,3474,10948
 6067c , Sacramento County (part) , Latino ,202638,138613,13752,50273
 6067c , Sacramento County (part) , Non-Hispanic American Indian ,3560,2160,,
 6067c , Sacramento County (part) , Non-Hispanic Asian ,157463,108014,8748,40701
 6067c , Sacramento County (part) , Non-Hispanic black ,89523,53920,7118,28485
 6067c , Sacramento County (part) , Non-Hispanic white ,431875,306369,23067,102439
 6067c , Sacramento County (part) , Total ,923263,632858,56415,233990
 6071c , San Bernardino County (part) , All other non-Hispanic ,25563,18266,2145,5152
 6071c , San Bernardino County (part) , Latino ,657878,440208,43716,173954
 6071c , San Bernardino County (part) , Non-Hispanic American Indian ,3720,2123,,
 6071c , San Bernardino County (part) , Non-Hispanic Asian ,99609,68671,3074,27864
 6071c , San Bernardino County (part) , Non-Hispanic black ,93791,57243,9365,27183
 6071c , San Bernardino County (part) , Non-Hispanic white ,383951,256242,23585,104124
 6071c , San Bernardino County (part) , Total ,1264512,842753,82449,339310
 6073c , San Diego County (part) , All other non-Hispanic ,64523,41819,5873,16831
 6073c , San Diego County (part) , Latino ,670869,484860,36278,149731
 6073c , San Diego County (part) , Non-Hispanic American Indian ,6742,3298,,3088
 6073c , San Diego County (part) , Non-Hispanic Asian ,263902,190495,8900,64507
 6073c , San Diego County (part) , Non-Hispanic black ,95610,68488,7143,19979
 6073c , San Diego County (part) , Non-Hispanic white ,930466,686973,40604,202889
 6073c , San Diego County (part) , Total ,2032112,1475933,99154,457025
 6075a ," San Francisco city, California ", All other non-Hispanic ,19992,16006,,3445
 6075a ," San Francisco city, California ", Latino ,89857,72202,2303,15352
 6075a ," San Francisco city, California ", Non-Hispanic American Indian ,,,,
 6075a ," San Francisco city, California ", Non-Hispanic Asian ,205398,155101,10654,39643
 6075a ," San Francisco city, California ", Non-Hispanic black ,26478,13968,3194,9316
 6075a ," San Francisco city, California ", Non-Hispanic white ,261643,220196,8478,32969
 6075a ," San Francisco city, California ", Total ,604227,478263,25239,100725
 6077c , San Joaquin County (part) , All other non-Hispanic ,15311,9348,,4703
 6077c , San Joaquin County (part) , Latino ,167804,108822,14582,44400
 6077c , San Joaquin County (part) , Non-Hispanic American Indian ,,,,
 6077c , San Joaquin County (part) , Non-Hispanic Asian ,67822,40698,5449,21675
 6077c , San Joaquin County (part) , Non-Hispanic black ,30969,17804,2458,10707
 6077c , San Joaquin County (part) , Non-Hispanic white ,145332,101676,9055,34601
 6077c , San Joaquin County (part) , Total ,428380,279071,33043,116266
 6081c , San Mateo County (part) , All other non-Hispanic ,13729,10595,,2687
 6081c , San Mateo County (part) , Latino ,120923,92411,6513,21999
 6081c , San Mateo County (part) , Non-Hispanic American Indian ,,,,
 6081c , San Mateo County (part) , Non-Hispanic Asian ,149129,116011,6968,26150
 6081c , San Mateo County (part) , Non-Hispanic black ,11780,8248,,2232
 6081c , San Mateo County (part) , Non-Hispanic white ,186173,147761,6034,32378
 6081c , San Mateo County (part) , Total ,482346,375638,21262,85446
 6085c , Santa Clara County (part) , All other non-Hispanic ,31363,23446,1500,6417
 6085c , Santa Clara County (part) , Latino ,308026,233185,14561,60280
 6085c , Santa Clara County (part) , Non-Hispanic American Indian ,2061,,,
 6085c , Santa Clara County (part) , Non-Hispanic Asian ,449190,332387,18569,98234
 6085c , Santa Clara County (part) , Non-Hispanic black ,29317,22344,1899,5074
 6085c , Santa Clara County (part) , Non-Hispanic white ,392391,303226,15052,74113
 6085c , Santa Clara County (part) , Total ,1212348,916337,51581,244430
 6099c , Stanislaus County (part) , All other non-Hispanic ,7788,4414,,1965
 6099c , Stanislaus County (part) , Latino ,141040,90165,14197,36678
 6099c , Stanislaus County (part) , Non-Hispanic American Indian ,1555,,,
 6099c , Stanislaus County (part) , Non-Hispanic Asian ,21701,14350,1225,6126
 6099c , Stanislaus County (part) , Non-Hispanic black ,8627,5575,,2200
 6099c , Stanislaus County (part) , Non-Hispanic white ,142082,88684,9353,44045
 6099c , Stanislaus County (part) , Total ,322793,203970,27176,91647
 6111c , Ventura County (part) , All other non-Hispanic ,9695,6155,,3251
 6111c , Ventura County (part) , Latino ,218203,161634,11357,45212
 6111c , Ventura County (part) , Non-Hispanic American Indian ,,,,
 6111c , Ventura County (part) , Non-Hispanic Asian ,41510,29121,1674,10715
 6111c , Ventura County (part) , Non-Hispanic black ,10548,8741,,1333
 6111c , Ventura County (part) , Non-Hispanic white ,239055,177956,10905,50194
 6111c , Ventura County (part) , Total ,519659,383960,24751,110948
 8031a ," Denver city, Colorado ", All other non-Hispanic ,10959,7837,,2391
 8031a ," Denver city, Colorado ", Latino ,126934,92362,5318,29254
 8031a ," Denver city, Colorado ", Non-Hispanic American Indian ,2417,1440,,
 8031a ," Denver city, Colorado ", Non-Hispanic Asian ,18843,14069,,4294
 8031a ," Denver city, Colorado ", Non-Hispanic black ,43457,29911,2964,10582
 8031a ," Denver city, Colorado ", Non-Hispanic white ,271272,223561,8413,39298
 8031a ," Denver city, Colorado ", Total ,473882,369180,18020,86682
 8041c , El Paso County (part) , All other non-Hispanic ,12252,7164,,4745
 8041c , El Paso County (part) , Latino ,62922,44861,3536,14525
 8041c , El Paso County (part) , Non-Hispanic American Indian ,1880,1293,,
 8041c , El Paso County (part) , Non-Hispanic Asian ,13935,9204,,3895
 8041c , El Paso County (part) , Non-Hispanic black ,24007,16387,1949,5671
 8041c , El Paso County (part) , Non-Hispanic white ,293498,219978,12647,60873
 8041c , El Paso County (part) , Total ,408494,298887,19367,90240
 9001c , Fairfield County (part) , All other non-Hispanic ,12285,8447,,2450
 9001c , Fairfield County (part) , Latino ,114678,86247,9042,19389
 9001c , Fairfield County (part) , Non-Hispanic American Indian ,,,,
 9001c , Fairfield County (part) , Non-Hispanic Asian ,33352,24047,1381,7924
 9001c , Fairfield County (part) , Non-Hispanic black ,62614,45635,5534,11445
 9001c , Fairfield County (part) , Non-Hispanic white ,352349,273194,16123,63032
 9001c , Fairfield County (part) , Total ,575664,437956,33468,104240
 9003c , Hartford County (part) , All other non-Hispanic ,9226,6011,,2528
 9003c , Hartford County (part) , Latino ,93475,62155,8596,22724
 9003c , Hartford County (part) , Non-Hispanic American Indian ,,,,
 9003c , Hartford County (part) , Non-Hispanic Asian ,28758,22025,,5902
 9003c , Hartford County (part) , Non-Hispanic black ,70814,51300,7418,12096
 9003c , Hartford County (part) , Non-Hispanic white ,339088,269976,12345,56767
 9003c , Hartford County (part) , Total ,542184,412290,29877,100017
 9009c , New Haven County (part) , All other non-Hispanic ,6729,4354,,1892
 9009c , New Haven County (part) , Latino ,90233,62092,6643,21498
 9009c , New Haven County (part) , Non-Hispanic American Indian ,,,,
 9009c , New Haven County (part) , Non-Hispanic Asian ,24390,18391,,5129
 9009c , New Haven County (part) , Non-Hispanic black ,67566,44533,5050,17983
 9009c , New Haven County (part) , Non-Hispanic white ,335263,262451,14758,58054
 9009c , New Haven County (part) , Total ,524800,392440,27804,104556
