 FIPS , Name , Race ,Total,Employed,Unemployed,NILF
 18097a ," Indianapolis city (balance), Indiana ", Non-Hispanic Asian ,19226,13193,,5579
 18097a ," Indianapolis city (balance), Indiana ", Non-Hispanic black ,155340,102427,19220,33693
 18097a ," Indianapolis city (balance), Indiana ", Non-Hispanic white ,346484,261280,15446,69758
 18097a ," Indianapolis city (balance), Indiana ", Total ,584974,424535,38659,121780
 20091c , Johnson County (part) , All other non-Hispanic ,6618,4551,,
 20091c , Johnson County (part) , Latino ,25301,21111,,3055
 20091c , Johnson County (part) , Non-Hispanic American Indian ,,,,
 20091c , Johnson County (part) , Non-Hispanic Asian ,19498,13696,,5328
 20091c , Johnson County (part) , Non-Hispanic black ,16989,14645,,2071
 20091c , Johnson County (part) , Non-Hispanic white ,288287,240510,6761,41016
 20091c , Johnson County (part) , Total ,357204,294977,10102,52125
 21111a ," Louisville/Jefferson County metro government (balance), Kentucky ", All other non-Hispanic ,8105,6771,,
 21111a ," Louisville/Jefferson County metro government (balance), Kentucky ", Latino ,22395,17921,,4029
 21111a ," Louisville/Jefferson County metro government (balance), Kentucky ", Non-Hispanic American Indian ,,,,
 21111a ," Louisville/Jefferson County metro government (balance), Kentucky ", Non-Hispanic Asian ,12613,9434,,2703
 21111a ," Louisville/Jefferson County metro government (balance), Kentucky ", Non-Hispanic black ,98255,69051,8643,20561
 21111a ," Louisville/Jefferson County metro government (balance), Kentucky ", Non-Hispanic white ,325209,246329,11252,67628
 21111a ," Louisville/Jefferson County metro government (balance), Kentucky ", Total ,467296,350123,21417,95756
 24003c , Anne Arundel County (part) , All other non-Hispanic ,6880,5435,,
 24003c , Anne Arundel County (part) , Latino ,24247,17368,,5952
 24003c , Anne Arundel County (part) , Non-Hispanic American Indian ,,,,
 24003c , Anne Arundel County (part) , Non-Hispanic Asian ,15594,13486,,1866
 24003c , Anne Arundel County (part) , Non-Hispanic black ,53477,41184,2723,9570
 24003c , Anne Arundel County (part) , Non-Hispanic white ,237203,192819,7759,36625
 24003c , Anne Arundel County (part) , Total ,338092,270496,12266,55330
 24005c , Baltimore County (part) , All other non-Hispanic ,9972,7309,,2292
 24005c , Baltimore County (part) , Latino ,25079,20595,,3764
 24005c , Baltimore County (part) , Non-Hispanic American Indian ,,,,
 24005c , Baltimore County (part) , Non-Hispanic Asian ,33049,24142,1181,7726
 24005c , Baltimore County (part) , Non-Hispanic black ,140472,112549,6421,21502
 24005c , Baltimore County (part) , Non-Hispanic white ,293403,226103,11779,55521
 24005c , Baltimore County (part) , Total ,502760,391058,20472,91230
 24031c , Montgomery County (part) , All other non-Hispanic ,21740,18666,,2438
 24031c , Montgomery County (part) , Latino ,123792,99189,7327,17276
 24031c , Montgomery County (part) , Non-Hispanic American Indian ,,,,
 24031c , Montgomery County (part) , Non-Hispanic Asian ,102251,81639,3167,17445
 24031c , Montgomery County (part) , Non-Hispanic black ,113416,89777,7230,16409
 24031c , Montgomery County (part) , Non-Hispanic white ,281599,227625,8737,45237
 24031c , Montgomery County (part) , Total ,643409,517322,27097,98990
 24033c , Prince George's County (part) , All other non-Hispanic ,12886,8560,,2868
 24033c , Prince George's County (part) , Latino ,100224,79698,3597,16929
 24033c , Prince George's County (part) , Non-Hispanic American Indian ,,,,
 24033c , Prince George's County (part) , Non-Hispanic Asian ,27201,19990,825,6386
 24033c , Prince George's County (part) , Non-Hispanic black ,367120,286726,22971,57423
 24033c , Prince George's County (part) , Non-Hispanic white ,72893,55566,1824,15503
 24033c , Prince George's County (part) , Total ,581463,451113,30675,99675
 24510a ," Baltimore city, Maryland ", All other non-Hispanic ,9421,6372,,2496
