FIPS, Name , Race ,Total,Employed,Unemployed,NILF
06099c," Stanislaus County, CA ", Non-Hispanic white ,142082,88684,9353,44045
06099c," Stanislaus County, CA ", Total ,322793,203970,27176,91647
06111c," Ventura County, CA ", All other non-Hispanic ,9695,6155,,3251
06111c," Ventura County, CA ", Latino ,218203,161634,11357,45212
06111c," Ventura County, CA ", Non-Hispanic American Indian ,,,,
06111c," Ventura County, CA ", Non-Hispanic Asian ,41510,29121,1674,10715
06111c," Ventura County, CA ", Non-Hispanic black ,10548,8741,,1333
06111c," Ventura County, CA ", Non-Hispanic white ,239055,177956,10905,50194
06111c," Ventura County, CA ", Total ,519659,383960,24751,110948
08031a," Denver, CO ", All other non-Hispanic ,10959,7837,,2391
08031a," Denver, CO ", Latino ,126934,92362,5318,29254
08031a," Denver, CO ", Non-Hispanic American Indian ,2417,1440,,
08031a," Denver, CO ", Non-Hispanic Asian ,18843,14069,,4294
08031a," Denver, CO ", Non-Hispanic black ,43457,29911,2964,10582
08031a," Denver, CO ", Non-Hispanic white ,271272,223561,8413,39298
08031a," Denver, CO ", Total ,473882,369180,18020,86682
08041c," El Paso County, CO ", All other non-Hispanic ,12252,7164,,4745
08041c," El Paso County, CO ", Latino ,62922,44861,3536,14525
08041c," El Paso County, CO ", Non-Hispanic American Indian ,1880,1293,,
08041c," El Paso County, CO ", Non-Hispanic Asian ,13935,9204,,3895
08041c," El Paso County, CO ", Non-Hispanic black ,24007,16387,1949,5671
08041c," El Paso County, CO ", Non-Hispanic white ,293498,219978,12647,60873
08041c," El Paso County, CO ", Total ,408494,298887,19367,90240
09001c," Fairfield County, CT ", All other non-Hispanic ,12285,8447,,2450
09001c," Fairfield County, CT ", Latino ,114678,86247,9042,19389
09001c," Fairfield County, CT ", Non-Hispanic American Indian ,,,,
09001c," Fairfield County, CT ", Non-Hispanic Asian ,33352,24047,1381,7924
09001c," Fairfield County, CT ", Non-Hispanic black ,62614,45635,5534,11445
09001c," Fairfield County, CT ", Non-Hispanic white ,352349,273194,16123,63032
09001c," Fairfield County, CT ", Total ,575664,437956,33468,104240
09003c," Hartford County, CT ", All other non-Hispanic ,9226,6011,,2528
09003c," Hartford County, CT ", Latino ,93475,62155,8596,22724
09003c," Hartford County, CT ", Non-Hispanic American Indian ,,,,
09003c," Hartford County, CT ", Non-Hispanic Asian ,28758,22025,,5902
09003c," Hartford County, CT ", Non-Hispanic black ,70814,51300,7418,12096
09003c," Hartford County, CT ", Non-Hispanic white ,339088,269976,12345,56767
09003c," Hartford County, CT ", Total ,542184,412290,29877,100017
09009c," New Haven County, CT ", All other non-Hispanic ,6729,4354,,1892
09009c," New Haven County, CT ", Latino ,90233,62092,6643,21498
09009c," New Haven County, CT ", Non-Hispanic American Indian ,,,,
09009c," New Haven County, CT ", Non-Hispanic Asian ,24390,18391,,5129
09009c," New Haven County, CT ", Non-Hispanic black ,67566,44533,5050,17983
09009c," New Haven County, CT ", Non-Hispanic white ,335263,262451,14758,58054
09009c," New Haven County, CT ", Total ,524800,392440,27804,104556
10003c," New Castle County, DE ", All other non-Hispanic ,7027,4317,,2328
10003c," New Castle County, DE ", Latino ,32187,23870,,7435
10003c," New Castle County, DE ", Non-Hispanic American Indian ,,,,
10003c," New Castle County, DE ", Non-Hispanic Asian ,19802,15562,,3535
10003c," New Castle County, DE ", Non-Hispanic black ,81185,59546,4302,17337
10003c," New Castle County, DE ", Non-Hispanic white ,200813,156266,8779,35768
10003c," New Castle County, DE ", Total ,341454,260001,15050,66403
11001a," Washington, DC ", All other non-Hispanic ,11784,8528,,2848
11001a," Washington, DC ", Latino ,47667,37966,2081,7620
11001a," Washington, DC ", Non-Hispanic American Indian ,,,,
11001a," Washington, DC ", Non-Hispanic Asian ,20203,16596,,3287
11001a," Washington, DC ", Non-Hispanic black ,186029,119358,18786,47885
11001a," Washington, DC ", Non-Hispanic white ,174749,154302,3582,16865
11001a," Washington, DC ", Total ,441487,337425,25557,78505
12009c," Brevard County, FL ", All other non-Hispanic ,7784,5151,,2047
12009c," Brevard County, FL ", Latino ,32271,22593,1790,7888
12009c," Brevard County, FL ", Non-Hispanic American Indian ,1058,,,
12009c," Brevard County, FL ", Non-Hispanic Asian ,7566,5519,,1903
12009c," Brevard County, FL ", Non-Hispanic black ,32545,21605,1952,8988
12009c," Brevard County, FL ", Non-Hispanic white ,246053,166539,9045,70469
12009c," Brevard County, FL ", Total ,327277,222317,13517,91443
